16828:20224,17,302,654,76,616,58,8,866,84
26756:1546,885,16995,1119,19330,17,866,69698,31315,41153
1345:1267,8,32,188,13378,58,3304,357,2583,1410
18784:285,17,302,654,616,58,84,29,8,518
46438:678,17,302,654,76,616,58,8,866,84
14154:378,17,302,1102,518,616,654,58,101,29
7503:4444,827,1886,1205,2347,11242,11243,3977,1119,4991
37733:17,302,616,84,654,8,650,736,542,1102
19018:17,76,361,1784,226,262,7851,40,26985,1696
24222:17,302,866,564,650,654,361,616,58,358
19399:17,302,654,76,616,58,8,866,84,29
25792:20797,2268,1951,17,185,245,3514,774,65,8
23272:17,302,654,76,616,58,8,866,84,29
987:654,58,616,1102,8,76,650,736,518,301
16504:37332,80750,97126,67812,33574,62165,72420,23161,2953,105790
24882:17,302,654,76,616,58,8,866,84,29
9464:244,302,616,29,58,84,650,1102,354,76
4589:986,564,226,698,70,508,17,8,76,302
2956:17,302,654,70,76,29,84,866,899,361
2929:35273,302,17,616,654,289,564,76,6,29
11528:68784,107613,866,361,24873,107479,104916,75405,8772,2510
359:17,302,654,616,101,76,29,8,650,84
39146:616,302,17,58,654,861,650,138,394,238
5556:2265,76,6387,22856,31633,2848,26519,48061,5363,62347
13955:719,984,5480,2318,8860,1400,1326,76,574,661
7892:646,302,654,84,899,616,736,518,301,947
9316:19642,17,302,654,76,616,58,8,866,84
1930:2548,5111,197,27094,8069,5627,7160,13049,20525,13995
13048:1405,17,302,654,84,616,29,8,1102,58
10558:168,719,984,10267,2318,8860,2155,76,1081,8252
12405:378,17,302,654,76,616,58,8,866,84
19701:76,40,564,17,2139,1069,96,81,226,2512
41625:17,111315,167,105809,2675,9438,2992,122327,109445,361
25364:361,226,81,1410,17,1786,1002,32166,866,564
30594:168,719,2642,984,1400,574,661,8860,5480,1740
35575:749,17,302,654,84,29,616,8,1102,58
9207:1021,17,535,289,90773,441,302,2121,58,554
2984:302,17,654,58,616,84,650,76,1102,354
24397:17,1102,654,76,302,8,84,616,518,650
38611:17,302,616,654,58,29,76,84,8,224
3995:17,302,654,76,616,58,8,866,84,29
31654:1009,108245,69969,813,8016,31797,75925,3131,7031,122589
229:2068,736,84,58,1102,518,866,361,101,1196
7841:224,302,654,58,84,8,650,289,1102,861
3760:2765,302,356,1866,292,1305,1213,11155,568,101
27970:40116,112068,110163,93930,93129,91468,86148,71459,69699,62721
24161:616,302,32,650,654,76,17,84,29,354
4946:226,908,947,931,508,23191,363,4647,1007,6243
2761:1287,17,29,616,58,138,542,1614,8,486
11852:75463,302,17,616,654,58,29,8,101,650
44120:168,719,984,5480,8860,7180,5738,1400,463,801
47393:5975,1397,13341,9054,2510,14268,10981,603,6311,7926
45546:17,17,302,654,76,616,58,8,866,84
14251:378,17,8,302,616,84,654,58,101,1102
4990:14089,9802,1594,14542,2900,44749,1102,749,48,114544
2973:616,29,84,8,1102,650,76,518,736,542
29789:224,17,302,654,76,616,58,8,866,84
38356:17,302,654,8,84,616,518,58,29,76
18949:8677,118440,96618,119616,78387,49672,65058,74741,65364,5026
38464:17,8359,6439,1050,302,1097,8081,70,19779,22483
17619:89046,4429,518,85526,7762,8,35757,17,302,654
35381:2153,48789,2642,574,661,1740,54693,16124,12657,24196
