6374:236,1580,3561,11208,1190,1190,24323,388,1023,394
11315:18401,508,73226,73226,73226,15157,17,21986,3461,542
20248:654,899,239,30,5117,1985,5117,239,302,84
29116:46039,46039,26615,114007,41602,104680,2291,1119,71226,1730
33973:76493,76493,17,302,654,76,616,58,8,866
31060:669,76493,9674,8322,17,302,654,76,616,58
26374:29,239,1762,508,449,3730,2514,1982,12223,1762
23668:1140,27154,32,18119,19934,17,302,654,58,616
14634:32,76,40,21938,53700,94106,92838,119489,262,441
34957:16675,826,5182,16209,5286,931,370,616,87112,9108
9208:1957,4210,20433,1200,75689,28670,22121,1200,17,8
22725:866,28670,17,302,654,76,616,58,8,866
10787:1389,3017,21343,21343,21343,21343,1389,21343,21343,17
286:61918,4520,14937,20230,49097,21704,28404,29316,56653,6492
44362:64013,61918,27721,94463,58082,5111,18897,465,77652,57460
5903:5069,76,58,29,138,1239,268,7573,45,29485
33441:84989,84989,34191,3659,84959,25105,19899,518,25233,17
8937:65,1913,6793,714,2379,1913,11762,13654,12223,714
7972:224,11762,17,302,654,76,616,58,8,866
497:489,59141,60778,17,302,654,76,616,58,8
1019:254,361,17,302,654,354,76,84,29,138
10449:967,6916,5567,5567,81,17,76,5812,2292,17403
7941:3,58,5567,3971,1578,37085,58,53381,58,58
47428:58824,58,17,302,654,76,616,58,8,866
23607:13573,13573,120007,50563,58986,1164,12136,86635,6379,1696
6066:17,966,690,13573,1140,24312,1140,966,29291,9968
21892:28822,28822,28822,96236,76,953,64908,120934,10771,79886
12833:45,35568,642,42701,7573,107069,21507,53381,28822,35568
4833:30094,5097,1023,8042,1790,7194,138,654,624,7194
949:95433,95433,17,302,654,76,616,58,8,866
15319:2947,394,3730,394,394,394,394,17,302,58
28829:118470,17,302,654,76,616,58,8,866,84
14479:111954,72985,364,398,1468,25979,2121,807,82106,19025
35014:6592,72985,17,302,654,76,616,58,8,866
12768:58,239,1550,1239,2570,3323,3730,2944,1451,6073
44904:398,2570,17,302,654,76,616,58,8,866
19110:2548,5150,12217,23865,23865,23865,2570,23865,653,2614
12253:58,999,2548,2548,2548,58,999,2548,2548,2548
21072:1744,13917,999,1744,5779,5779,1007,999,999,999
3467:356,12435,1023,32418,9010,12435,99182,38134,9670,48208
10272:69962,10556,24152,24152,24152,24152,18,18,18,18
21714:57433,57433,57433,57433,57433,103065,111410,119847,3681,8916
33348:3167,57433,57433,17,302,654,76,616,58,8
10730:12489,17,486,899,3234,2338,2073,508,690,1624
40328:13108,46776,70853,53187,4937,7334,24775,11015,1131,327
25408:3288,46776,17,302,654,76,616,58,8,866
27705:40905,40905,40905,40905,40905,40905,40905,17,302,654
13485:18239,23317,11772,28926,1218,18239,23317,23317,23317,17
29652:45123,26530,7360,86079,2717,564,17376,113311,53883,77196
39538:1102,861,6130,3847,9581,9197,3445,17,302,654
2401:2181,72917,6541,19079,19079,2979,4630,90354,90354,90354
6639:78757,78757,78757,78757,78757,78757,78757,2028,78757,78757
11195:924,78757,2547,89308,109784,101190,85053,111816,69340,30110
19415:30287,1256,3618,14955,22363,10647,5122,55445,3688,400
51206:7132,2579,297,361,2275,3786,35042,57128,29181,76
24911:5363,1913,2265,57205,23832,866,361,122846,95894,95347
26419:239,1876,302,654,84,58,866,29,616,354
39224:1923,1712,7831,57026,4755,10145,37738,91453,18938,71795
10903:465,27070,36041,18791,26436,21374,4825,8694,81363,58407
7836:106,7377,42022,7377,3345,2342,1475,7377,7377,7377
33473:97322,650,17,302,58,616,654,81,358,888
48409:20134,20134,1091,74189,35087,371,2983,1352,1712,189
12441:605,605,605,22680,39196,41919,13568,70085,15560,44383
3116:100843,100843,100843,100843,100843,100843,100843,100843,100843,873
11961:19584,59978,7642,84998,39512,53922,56376,15802,65079,15206
16841:22533,2167,73534,28926,73534,73534,73534,73534,5180,73534
