18525:17,302,654,76,616,58,8,866,84,29
18545:1410,17,20938,616,947,5033,16710,59836,21839,64402
18561:50463,24032,82018,68947,113345,39774,85656,18401,49652,54872
18571:97,17,654,29,58,84,616,650,1102,76
18616:650,302,654,84,58,866,29,616,354,1102
18639:17,302,654,70,84,354,1462,58,616,866
18648:440,105312,262,302,17,1302,31054,98458,90000,76
18657:17,224,8,101,34325,13060,73512,24850,20103,1822
18663:17,224,182,302,236,616,650,654,58,407
18666:17,302,564,698,650,654,58,361,616,866
18686:17,302,564,650,654,58,616,866,361,698
18690:8066,1397,4889,5975,9054,14268,2510,8772,2548,17
18697:13897,80966,117619,61338,22060,36127,43746,47111,9101,11199
18698:17,302,654,76,616,58,8,866,84,29
18707:2405,17,302,654,76,616,58,8,866,84
18709:16208,47658,70,76,8,40,564,81,2512,358
18711:7037,17,302,654,76,616,58,8,866,84
18712:38152,75801,2523,59616,27483,116831,32239,26193,40093,94811
18713:10039,17,302,654,76,616,58,8,866,84
18766:654,84,29,58,616,866,354,1102,650,76
18810:29,17,302,84,76,8,650,1102,301,736
18815:2139,5292,1673,1730,60072,1326,76,508,18096,1556
18823:13449,17,14026,4032,104693,65555,138,18903,4288,302
18827:1787,76,63960,31223,61242,58599,119103,116218,2600,38137
18836:188,17,236,1913,111889,93219,81,245,953,654
18845:2361,17,616,15,302,654,8,238,58,76
18852:26312,7021,83419,13889,1495,3672,52460,6503,8321,44774
18885:61076,61245,1462,398,114357,7225,54517,34210,117639,8637
18887:709,23490,17,302,654,76,616,58,8,866
18901:289,654,29,58,84,616,1102,354,650,76
18944:67153,17326,31659,98498,92508,10118,37715,8660,431,17265
18965:9788,82547,117872,2068,33912,50319,58680,59514,42910,48144
18999:6759,1139,2302,381,410,226,4187,70,931,9160
19001:302,616,861,4702,1940,76,888,654,62,179
19006:62,17,302,654,76,616,58,8,866,84
19010:17,654,58,84,616,1102,354,866,650,76
19019:116,17,302,654,84,70,354,301,866,58
19022:986,780,17,500,226,262,2241,76,3137,1884
19025:76,17,302,654,76,616,58,8,866,84
19030:70,17,302,654,76,616,58,8,866,84
19032:17,302,654,65,564,84,1196,8,62,518
19043:17,302,654,76,616,58,8,866,84,29
19046:9383,25787,97380,110825,74069,53924,17,302,654,76
19048:85646,95963,52365,1404,17,76,105733,41910,35622,37568
19049:774,970,1524,3506,17,4487,8536,25783,947,245
19050:17,302,654,76,616,58,8,866,84,29
19051:11720,17,654,58,29,616,84,6,650,76
19062:13419,1050,120887,98042,33095,17423,3088,1744,84,7174
19065:34309,104871,116500,36120,58958,70612,3334,26434,121315,66418
19069:10660,5287,5771,18776,24145,34122,44257,98037,74297,80855
19070:23791,17,302,654,76,616,58,8,866,84
19094:4239,55169,62330,87430,100700,44795,99051,70384,73805,2602
19095:18105,98167,22411,31646,17,119949,40771,14,13515,67335
19096:2139,17,866,76,262,8,361,1730,40,698
19097:1913,2265,57205,866,76,1220,34620,21332,1149,115968
19102:58,654,29,84,76,1102,354,8,138,866
19129:8342,17,302,654,76,616,58,8,866,84
19130:17,302,76,564,654,616,84,58,8,29
19144:63364,17,236,899,76,119,48,98177,83477,36026
19148:8322,9674,24933,16965,13077,6856,38522,36432,11072,30815
19156:55084,87246,83408,90695,4254,37386,2292,13216,1002,1007
19163:1527,3107,10041,2880,4825,1712,3172,6434,8848,12990
19165:11043,17,947,84,2950,302,301,616,1102,1127
19174:62,14785,6040,13557,48703,35750,26587,11715,861,13250
19176:35847,2071,48265,1131,41105,87776,59112,11916,4170,87392
19178:885,19330,1546,31315,76,2081,670,33572,19829,62489
19184:18768,17,302,654,76,616,58,8,866,84
19185:17,302,654,76,616,58,8,866,84,29
19198:168,3601,5480,3709,661,1400,984,34589,719,752
19199:4755,1352,1527,4825,3172,3107,189,10041,1712,378
19240:4299,1119,7827,1187,7127,2162,899,65,17,875
19241:302,654,84,58,866,616,29,354,1102,301
19243:7856,31845,109957,99664,74905,564,367,2064,2464,4886
19244:11188,54563,294,5598,4600,4697,4320,2602,4254,37386
19246:4018,302,654,84,354,29,866,138,58,899
19259:45658,108416,44253,76009,78321,15816,23200,16178,24106,1709
19262:661,45163,12272,9732,463,12812,13366,68547,11834,11697
19265:1475,17,654,1550,58,302,616,29,4173,3101
19276:17,302,58,654,29,616,76,650,84,62
19277:157,3196,197,8069,14793,10541,27094,1352,465,13049
19304:17,302,654,76,616,58,8,866,84,29
19307:5097,76,698,2139,17,564,361,866,1069,81
19308:302,654,84,58,354,616,29,650,8,301
19309:17,1187,2162,875,84,302,654,354,70,947
19320:17,302,76,654,58,616,84,224,1352,8
19328:8322,9674,24933,16965,13077,6856,38522,36432,11072,30815
19343:61118,93612,17,302,654,76,616,58,8,866
19354:10684,26993,11101,87673,76,40,17,67451,347,4858
19355:3159,76,2139,168,119701,1970,654,616,3613,3348
19356:59903,111200,30606,4731,63060,377,17,302,654,76
